"Timestamp","Plants","Dreams","Lucky_directions","Halloween_plans","Bodies","Hair_colors","Moments"
"2024/10/17 2:09:12 pm CET","Bushes","Happy dreams- Unbelievable fantasies","Northwestern","Be some food","I love every part of my self!","Pink","Sunset"
"2024/10/17 2:10:08 pm CET","Tall Pine Trees","Happy dreams- Flying in the sky","Weatern","Don't like halloween","Eyes","Blonde","Sunrise"
"2024/10/17 2:10:16 pm CET","Moss","Stressful dreams- Having a test","Eastern","Never dressed up for Halloween before :/","Eyes","Black","Sunrise"
"2024/10/17 2:10:32 pm CET","Tall Pine Trees","Always forget my dream","Southern","Dressing up as Ghostface for a pub trip","Legs","Black","Evening"
"2024/10/17 2:10:51 pm CET","Moss","Always forget my dream","Northwestern","Cosplay as some celebrities","I love every part of my self!","Pink","Sunset"
"2024/10/17 2:11:49 pm CET","Apple trees or other trees with flowers","Stressful dreams- Having a test","Southern","Be some inorganic life-form, like headphone","Mouth","Red","Sunrise"
"2024/10/17 2:12:19 pm CET","Apple trees or other trees with flowers","Happy dreams- Unbelievable fantasies","Northeastern","Cosplay as some celebrities","Eyes","Red","Evening"
"2024/10/17 2:12:29 pm CET","Moss","Stressful dreams- Having a test","Southeastern","Be some inorganic life-form, like headphone","I love every part of my self!","Blonde","Sunrise"
"2024/10/17 2:13:36 pm CET","Weeping willow","Always forget my dream","Northern","Cosplay as some celebrities","Eyes","Black","Sunrise"
"2024/10/17 2:13:43 pm CET","Moss","Happy dreams- Unbelievable fantasies","Southern","Try to dress up emo","I love every part of my self!","Blonde","Afternoon"
"2024/10/17 2:14:09 pm CET","Tall Pine Trees","Happy dreams- Flying in the sky","Southern","Don't like halloween","I love every part of my self!","Brown","Sunrise"
"2024/10/17 2:14:50 pm CET","Apple trees or other trees with flowers","murder scene","Southern","snowman","I love every part of my self!","Brown",""
"2024/10/17 3:55:04 pm CET","Apple trees or other trees with flowers","Always forget my dream","Eastern","Barbie ","I love every part of my self!","Red","Sunset"
"2024/10/17 5:43:03 pm CET","Bushes","Always forget my dream","Southern","Be some food","Hands","Blue","Sunrise"
"2024/10/17 8:29:43 pm CET","Apple trees or other trees with flowers","Always forget my dream","Eastern","Cosplay as some celebrities","Eyes","Pink","Sunset"
"2024/10/20 3:00:00 pm CET","Tall Pine Trees","rarely have dreams","","n/a","I love every part of my self!","Brown","Sunrise"
"2024/10/21 11:06:55 am CET","Tall Pine Trees","Always forget my dream","Southwestern","Be some inorganic life-form, like headphone","I love every part of my self!","Blonde + Black pokedots","Sunset"
"2024/10/21 11:51:44 am CET","Tall Pine Trees","Happy dreams- Unbelievable fantasies","Northeastern","Be some inorganic life-form, like headphone","Hands","Green","Evening"
